,enwiki_article,identifier
383,Ate? Ç?nar,Q4813146
384,Ancu?a Bobocel,Q436115
385,Joshua Kiprui Cheptegei,Q17403005
386,Flávia Saraiva,Q17484156
387,Špela Ponomarenko Jani?,Q8082853
388,Evgeny Donskoy,Q619669
389,Janet Musindalo Okelo,Q26304867
390,Spencer Wilton,Q26232199
391,Joshua Tibatemwa,Q26260174
392,Patricia Sarrapio,Q7145826
393,Sergey Tetyukhin,Q735840
394,Kim So-hui (taekwondo),Q1741572
395,Tee Jing Yi,Q438757
396,Tom Shields,Q1027224
397,Alfredo Talavera,Q2118086
398,Rafael Castillo (taekwondo),Q26611930
399,Ismael Hernández (pentathlete),Q26488726
400,Stine Nielsen,Q7617400
401,Maikel van der Vleuten,Q1885406
402,Anita Alvarez (synchronized swimmer),Q26329083
403,Sofia Mattsson,Q454623
404,Maria Belimpasaki,Q2679780
405,Ana Filipa Martins,Q23771524
406,Julie Johnston,Q10552391
407,Taru Kuoppa,Q21066927
408,Assmaa Niang,Q26254403
409,Nora Gjakova,Q17159609
410,Sakshi Malik,Q17466423
411,Philip Hindes,Q675074
412,Pedro Pinotes,Q7159868
413,Therese Alshammar,Q272910
414,Patricio Garino,Q20931764
415,Vivian Kong,Q18165132
416,Sarah Menezes,Q235978
417,Michael Kalomiris,Q26483252
418,Alice Ingley,Q347360
419,Kelly Brazier,Q3194885
420,Dorothee Schneider,Q441345
421,Sofia Ennaoui,Q16605117
422,Arthur Biyarslanov,Q20736429
423,Lindsey Harding,Q275788
424,Vinesh Phogat,Q17466644
425,Rafael Lacayo,Q26226835
426,Yana Alekseevna,Q25250256
427,James Davies (rugby union),Q21621139
428,Nazar Kovalenko,Q3337374
429,Karin Donckers,Q2805239
430,Mikkel Hansen,Q365077
431,Gabriel Jesus,Q19708656
432,Shane Brathwaite,Q7487995
433,Kevin Álvarez,Q26492898
434,Tonia Couch,Q437115
435,Yannick Brauchli,Q17711645
436,René Holten Poulsen,Q2718117
437,Gina Bass,Q24951757
438,Nikki Hamblin,Q3341534
439,Alice Richardson,Q18127536
440,Erik Vl?ek,Q2662198
441,Louis Smith (gymnast),Q639998
442,Riau Ega Agatha,Q21005722
443,Benjamin Martin (field hockey),Q26611687
444,Dan Martin (cyclist),Q523444
445,Ramadan Darwish,Q2261607
446,Sofia Riga,Q26268105
447,Malin Westerheim,Q3370943
448,Abdoul Razak Issoufou,Q25433452
449,Chahinez Nasri,Q25454276
450,Éva Risztov,Q922338
451,Edward Araya,Q5341591
452,Satu Mäkelä-Nummela,Q240875
453,Annekatrin Thiele,Q67678
454,Litia Naiqato,Q26250642
455,Franck Elemba,Q17612219
456,Jaime Quiyuch,Q11716209
457,Dirngulbai Misech,Q23882401
458,Urša Kragelj,Q3552512
459,Cedric Dubler,Q17544205
460,Julio Peralta,Q6309468
461,Polat Kemboi Ar?kan,Q421531
462,João Gomes Júnior,Q10311761
463,Robert Urbanek,Q3938454
464,Kim Hye-gyong,Q14552393
465,Sim Sang-min,Q15978630
466,Chris Adcock,Q1076927
467,A?ona Ribakova,Q16352312
468,Jenia Grebennikov,Q3176989
469,Jason Waterhouse,Q26261202
470,Yigal Kopinsky,Q26234424
471,Le Huilin,Q24951110
472,Lilian Castro,Q20111550
473,Glencora Ralph,Q5115032
474,Fernando Gaviria,Q16889614
475,Adrien Niyonshuti,Q377133
476,Dorjnyambuugiin Otgondalai,Q26250591
477,José-Filipe Lima,Q773683
478,Lee Wai Sze,Q455720
479,Dana Vel?áková,Q2521814
480,Yvonne Schuring,Q447744
481,Vasiliki Millousi,Q7916727
482,Velimir Stjepanovi?,Q1526479
483,Nicola White,Q40374
484,?eref Osmano?lu,Q2628969
485,Sanni Utriainen,Q729625
486,Ma Jianfei,Q1442758
487,Sam Groth,Q1284978
488,Filip Mihaljevi?,Q15144631
489,Anna Kasprzak,Q4767148
490,Abderahmane Benamadi,Q4664892
491,Elisbet Gámez,Q26250581
492,Rodman Teltull,Q126748
493,Li Xiaohong (athlete),Q20976278
494,Rolando Palacios,Q1361211
495,Lucia Palermo,Q6696661
496,Astou Traoré,Q4811126
497,Claudia Rivas,Q5129246
498,Patricia Castro,Q7145508
499,Sakiko Shimizu,Q23947970
500,Marc Mundell,Q6755771
501,Werner Kok,Q19585867
502,Steffen Deibler,Q65228
503,Michelle Li (badminton),Q460005
504,Jarrion Lawson,Q3162794
505,Isabella Isaksen,Q26207586
506,Aleksandar Aleksandrov (rower),Q4714760
507,Barbora Závadová,Q3523779
508,Gankhuyagiin Nandinzayaa,Q26225898
509,Kim Jang-mi,Q483368
510,Philippe Gagné,Q19957837
511,Georgina Klug,Q3103790
512,John Gordon Perrin,Q21097218
513,Margit Vanek,Q1895329
514,Jessica Javelet,Q26217966
515,Yuliya Olishevska,Q3078115
516,Philipp Kohlschreiber,Q77149
517,Armandas Kelmelis,Q20503346
518,Madison Hughes,Q18206529
519,Yasmani Copello,Q17305804
520,Sanna Solberg,Q138598
521,Pancho Paskov,Q24283483
522,Mats Grambusch,Q26234525
523,Deepika Thakur,Q26269744
524,Lydia Jele,Q21621577
525,Leon Goretzka,Q520721
526,Josh Beaver,Q24250012
527,Fu Haifeng,Q471111
528,Roberta Vinci,Q95162
529,Nastassia Yatsevich,Q3917778
530,Olha Leleiko,Q1656783
531,Moeko Nagaoka,Q11652143
532,Hafsatu Kamara,Q20900329
533,Sara Krnji?,Q2160560
534,Yuri van Gelder,Q2192627
535,Tom Dumoulin,Q958187
536,Yi Siling,Q242315
537,Richard Weinberger,Q570203
538,Carlin Isles,Q892034
539,Mariafe Artacho del Solar,Q13560482
540,Perseus Karlström,Q20969826
541,Logan Cunningham (athlete),Q25915537
542,Matteo Lodo,Q20961903
543,Chen Wei-ling,Q334737
544,Ivan ?upi?,Q529074
545,Nils Petersen,Q159123
546,Mariya Shatalova,Q20967866
547,Chloe Rayner,Q21061955
548,Apurvi Chandela,Q17421761
549,Gonzalo Carou,Q5582221
550,Albert Selimov,Q578177
551,Bradley Wiggins,Q193876
552,Xu Xiaolong,Q20976242
553,Genevieve Orton,Q5533086
554,Luba Golovina,Q4950389
555,Konstantin Semenov,Q1782763
556,Elena Delle Donne,Q2113902
557,Marcel Hacker,Q71900
558,Thorbjørn Olesen,Q1655711
559,Chloé Tutton,Q24450793
560,Ayonika Paul,Q17421764
561,Hua Shaoqing,Q26268101
562,Antonio Tuivuna,Q22162786
563,Hamzeh Zarini,Q5646551
564,Gonzalo Carreras,Q26276662
565,Sonny Webster,Q26209638
566,Danijel Furtula,Q3015087
567,Ghader Mizbani,Q1386582
568,Sun Man (rower),Q26262173
569,Chloe Dygert,Q23007713
570,Humam Tariq,Q5936720
571,Jason Saunders,Q6163427
572,Yaniuvis López,Q20983018
573,Edgaras Venckaitis,Q5337551
574,Jimmy Feigen,Q1092390
575,Jung Jin-sun,Q484096
576,Chai Biao,Q463222
577,Li Ping (table tennis),Q1822588
578,Paola Muñoz,Q7132097
579,Wílmar Barrios,Q19661792
580,Natthaphong Phonoppharat,Q26267484
581,Saliu Popoola,Q26231018
582,Sudha Singh,Q3502936
583,Dmitriy Koblov,Q26324383
584,Alexandra Hagan,Q3610821
585,Lina Šaltyt?,Q11756898
586,Mariah Williams,Q26384494
587,Kieran Behan,Q3196455
588,Luisa Tisolo,Q26250641
589,Isabella Echeverri,Q19957689
590,Natalie Rooney,Q26233739
591,Jessica O'Connell,Q21296708
592,Benjámin Ceiner,Q25912501
593,Douglas Souza,Q23761688
594,Pedro da Silva (canoeist),Q26254399
595,Brady Ellison,Q1156472
596,Pablo Carrera,Q7121590
597,Nigel Paul (boxer),Q23478021
598,Ignacio Ortiz (field hockey),Q26358014
599,Rebecca Rolls,Q7301891
600,Jana Dukátová,Q3052397
601,Katrina Young,Q26209300
602,Daniyar Ismayilov,Q4204096
603,Mai Ito,Q11380389
604,Hong Wei,Q1627009
605,Zheng Shuyin,Q19950859
606,Chan Yung-jan,Q234624
607,Ketija Birzule,Q25393466
608,Tianna Bartoletta,Q256571
609,Abdelkebir Ouaddar,Q19839389
610,Angus Ng,Q868746
611,Ali Hashemi,Q21005750
612,Andrija Šljuki?,Q26254378
613,Wout Poels,Q562309
614,Peace Uko,Q26217952
615,Danielle Prince,Q24450374
616,Kaori Matsumoto,Q1241385
617,Ivan Ivanov (triathlete),Q26156027
618,Simon Child,Q1845787
619,Samuel Carmona,Q26236121
620,Jimmy Vicaut,Q937648
621,Kate O'Brien (cyclist),Q19577458
622,Sven Martin Skagestad,Q21583199
623,Stefan Hristov (cyclist),Q2336097
624,Tutya Y?lmaz,Q20988565
625,Alena Abramchuk,Q2832662
626,Lynique Prinsloo,Q11764442
627,Mehmet Nadir Ünal,Q25160406
628,Josh Junior,Q20680364
629,Fantine Lesaffre,Q23749166
630,Christoph Fildebrandt,Q107864
631,Hans Podlipnik,Q4209678
632,Tina Charles (basketball),Q289172
633,Arashi Morisaka,Q26260152
634,Zhan Beleniuk,Q18129428
635,Antoine Gakeme,Q16527292
636,Charlotte Caslick,Q22003576
637,Fanny Horta,Q3066461
638,Geoffrey Kipsang Kamworor,Q1503019
639,Daniel Gómez (fencer),Q1393139
640,Hasanboy Dusmatov,Q26238031
641,Matthew Stanley,Q6791264
642,Hayle Ibrahimov,Q972572
643,Imad Bassou,Q26236493
644,Elle Logan,Q290050
645,Roel Braas,Q1888805
646,Janine van Wyk,Q18128995
647,Matthew Guest,Q25684198
648,Simon Andreassen,Q18953971
649,Anna Incerti,Q286578
650,?ukasz Grzeszczuk,Q9394610
651,Micha? Haratyk,Q20829544
652,Inna Hryshchun,Q20016859
653,Catherine Bertone,Q26266114
654,Noora Tamminen,Q13583382
655,Marta Puda,Q25703523
656,Rababe Arafi,Q3415841
657,Jessica Walker,Q6187540
